server,command
bsbank,ls
bsbank,tail -f StatisticsHealth.log
bsbank,ps -ef | grep java
bsbank,cd ../..
bsbank,ls
bsbank,cd tomcat
bsbank,cd bin
bsbank,./startup.sh 
bsbank,./shutdown.sh 
bsbank,./startup.sh 
bsbank,ps -ef | grep java
bsbank,cd /nkia/BSBANK
bsbank,ls
bsbank,cd manager
bsbank,cd deploy/service/
bsbank,ls
bsbank,cd com.nkia.service.statistics_1.0/
bsbank,ls
bsbank,ls -al
bsbank,cd ../..
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd bin
bsbank,./manager.sh -stop
bsbank,./manager.sh -shutdown
bsbank,./manager.sh -start
bsbank,./manager.sh -startup
bsbank,ps -ef | grep java
bsbank,./manager.sh -shutdown
bsbank,ps -ef | grep java
bsbank,cd ..
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd tomcat
bsbank,ls
bsbank,cd bin
bsbank,./shutdown.sh 
bsbank,ps -ef | grep java
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd manager/bin
bsbank,./manager.sh -start
bsbank,./manager.sh -startup
bsbank,clear
bsbank,./manager.sh -startup
bsbank,ps -ef | grep java
bsbank,./manager.sh -stop
bsbank,./manager.sh -shutdown
bsbank,ps -ef | grep java
bsbank,./manager.sh -startup
bsbank,ls
bsbank,cd ../logs
bsbank,ls
bsbank,tail -f console_20160822_1838.log 
bsbank,cd ../bin
bsbank,./manager.sh -shutdown
bsbank,./manager.sh -startup
bsbank,cd ../logs
bsbank,ls
bsbank,tail -f console_20160822_1844.log 
bsbank,crontab -e
bsbank,clear 
bsbank,crontab -e
bsbank,ps -ef | grep AGENT
bsbank,cd /nkia/app/agent
bsbank,./agentstart.sh
bsbank,cd NNPAgent
bsbank,ls
bsbank,./agentstart.sh
bsbank,ps -ef | grep AGENT
bsbank,ps -ef | grep java
bsbank,cd /nkia
bsbank,ls
bsbank,cd BS
bsbank,ls
bsbank,cd BSBANK
bsbank,ls
bsbank,pwd
bsbank,uname -a
bsbank,pwd
bsbank,ls -al
bsbank,cd manager
bsbank,ls -al
bsbank,cd deploy/service/
bsbank,s
bsbank,cd com.nkia.service.notification_1.0/
bsbank,ls
bsbank,vi service.template.xml 
bsbank,pwd
bsbank,cd ../..
bsbank,ls
bsbank,cd ../conf/
bsbank,ls
bsbank,vi log4j.properties
bsbank,ps -ef| grpe sh
bsbank,ps -ef| grep sh
bsbank,cd /nkia/
bsbank,ls
bsbank,cd BSBANK
bsbank,ls
bsbank,cd manager/
bsbank,ls
bsbank,cd bin
bsbank,ant deletelog
bsbank,ps -ef | grep java
bsbank,./startup.sh 
bsbank,tail f- ../logs/console_20161014_1701.log 
bsbank,tail -f ../logs/console_20161014_1701.log 
bsbank,cd ..
bsbank,ls
bsbank,cd tomcat/bin
bsbank,./startup.sh 
bsbank,cd ..
bsbank,ls
bsbank,cd manager/logs/
bsbank,ls
bsbank,vi ./notification.log 
bsbank,pwd
bsbank,cd /nkia/
bsbank,ls
bsbank,cd BSBANK
bsbank,ls- al
bsbank,ls
bsbank,l s-al
bsbank,cd manager
bsbank,ls
bsbank,cd deploy/
bsbank,ls
bsbank,cd service/
bsbank,ls
bsbank,ls -al
bsbank,cd com.nkia.service.statistics_1.0/
bsbank,ls -al
bsbank,ll
bsbank,cd ./..
bsbank,cd ..
bsbank,sl
bsbank,cd ../
bsbank,ls
bsbank,cd deploy/default/
bsbank,ls
bsbank,cd com.nkia.service.ibatis_1.0/
bsbank,ls
bsbank,vi SqlMapConfig.properties 
bsbank,pwdls -al
bsbank,pwd
bsbank,ls -al
bsbank,cd ../.
bsbank,ls
bsbank,..
bsbank,ls
bsbank,cd /nkia
bsbank,ls
bsbank,cd BSBANK
bsbank,ls
bsbank,cd 
bsbank,ls
bsbank,cd /nkia
bsbank,ls
bsbank,cd BSBANK
bsbank,ls
bsbank,cd manager
bsbank,ls
bsbank,cd logs
bsbank,ls
bsbank,vi statistics.log
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd bin
bsbank,ls
bsbank,./manager.sh -shutdown
bsbank,./manager.sh -startup
bsbank,cd ..
bsbank,ls
bsbank,cd logs
bsbank,ls
bsbank,tail -f console_20161017_1135.log
bsbank,tail -f statistics.log
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd conf
bsbank,ls
bsbank,vi log4j.properties
bsbank,cd ..
bsbank,ls
bsbank,cd logs
bsbank,ls
bsbank,tail -f statistics.log
bsbank,cd /nkia/app/agent/NNPAgent/
bsbank,ls
bsbank,crontab -e
bsbank,ps -ef | grep  AGENT
bsbank,crontab -e
bsbank,ps -ef | grep  AGENT
bsbank,crontab -e
bsbank,su - oracle
bsbank,dcd /nkia/
bsbank,ls
bsbank,cd /nkia/
bsbank,ls
bsbank,cd BSBANK
bsbank,ls
bsbank,cd manager/
bsbank,ls
bsbank,cd logs/
bsbank,tail -f ./statistics.log
bsbank,tail -f ./statistics.log | .*AttributeNotSupported.*
bsbank,tail -f ./statistics.log | grep .*AttributeNotSupported.*
bsbank,crontab -e
bsbank,ps -ef | grep AGENT
bsbank,crontab -e
bsbank,ps -ef | grep AGENT
bsbank,cd /nkia/
bsbank,ls
bsbank,cd /nkia/
bsbank,ls
bsbank,cd BSBANK
bsbank,ls
bsbank,cd manager/
bsbank,ls
bsbank,cd bin
bsbank,crontab -e
bsbank,:q!
bsbank,ls
bsbank,cd ../
bsbank,ls
bsbank,cd ../logs
bsbank,pwd
bsbank,cd ./logs/
bsbank,l
bsbank,ls
bsbank,tail -f ./statistics.log
bsbank,tail -f ./statistics.log | grep .*AttributeNotSupported.*
bsbank,cd /nkia/BSBANK
bsbank,ls
bsbank,cd manager/conf
bsbank,vi ./log4j.properties
bsbank,tail -f ../logs/statistics.log | grep .*ERROR.*
bsbank,tail -16000f ../logs/statistics.log | grep .*ERROR.*
bsbank,tail -16000f ../logs/statistics.log
bsbank,tail -f ../logs/statistics.log
bsbank,ls
bsbank,cd /nkia
bsbank,ls
bsbank,cd BSBANK
bsbank,ls
bsbank,cd manager
bsbank,ls
bsbank,cd logs
bsbank,ls
bsbank,vi console_20161017_1350.log
bsbank,tail -f console_20161017_1350.log
bsbank,ls
bsbank,vi statistics.log
bsbank,cd ..
bsbank,cd bin
bsbank,./manager.sh -shutdown
bsbank,./manager.sh -startup
bsbank,ls
bsbank,cd ../logs
bsbank,ls
bsbank,tail -f console_20161017_1540.log
bsbank,ls
bsbank,tail -f statistics.log
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd bin
bsbank,./manager.sh -shutdown;./manager.sh -startup
bsbank,ls
bsbank,cd ../logs
bsbank,ls
bsbank,tail -f console_20161017_1621.log
bsbank,tail -f statistics.log
bsbank,vi statistics.log
bsbank,vi statistics.log.1
bsbank,vi statistics.log
bsbank,tail -f  statistics.log
bsbank,ls
bsbank,cd ../bin
bsbank,./manager.sh -shutdown;./manager.sh -startup
bsbank,ls
bsbank,cd ../logs
bsbank,ls
bsbank,tail -f console_20161017_1651.log
bsbank,vi statistics.log
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd bn
bsbank,d bin
bsbank,cd bin
bsbank,ls
bsbank,./manager.sh -shutdown;./manager.sh -startup
bsbank,ls
bsbank,cd ../logs
bsbank,tail -f console_20161017_1651.log
bsbank,ls
bsbank,tail -f console_20161017_1655.log
bsbank,tail -f statistics.log
bsbank,ls
bsbank,cd ../etl
bsbank,ls
bsbank,ls -al
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,find / -name excepted_stat*
bsbank,ls
bsbank,cd manager
bsbank,ls
bsbank,cd etl
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd logs
bsbank,ls
bsbank,tail -f statistics.log
bsbank,cd ..
bsbank,ls
bsbank,cd etl
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd bin
bsbank,./manager.sh -shutdown
bsbank,./manager.sh -startup
bsbank,ls
bsbank,cd ../logs
bsbank,ls
bsbank,tail -f console_20161017_1707.log
bsbank,cd ..
bsbank,ls
bsbank,cd bin
bsbank,./manager.sh -shutdown; ./manager.sh -startup
bsbank,ls
bsbank,cd ../logs
bsbank,ls
bsbank,tail -f console_20161017_1711.log
bsbank,ls
bsbank,vi statistics.log
bsbank,tail -f statistics.log
bsbank,"tail -f statistics.log | grep ""can not collect"""
bsbank,tail -f statistics.log
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd etl
bsbank,ls
bsbank,cd ../logs
bsbank,ls
bsbank,vi statistics.log
bsbank,tail -f statistics.log
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd bin
bsbank,./manager.sh -shutdown
bsbank,cd ..
bsbank,ls
bsbank,cd logs
bsbank,ls
bsbank,cd ../bin
bsbank,./manager.sh -startup
bsbank,cd ..
bsbank,ls
bsbank,cd logs
bsbank,ls
bsbank,tail -f console_20161017_1724.log
bsbank,tail -f statistics 
bsbank,tail -f statistics.log
bsbank,"tail -f statistics.log | grep ""can not col"""
bsbank,tail -f statistics.lo
bsbank,tail -f statistics.log
