,word
0,000
1,10
2,10 minutes
3,10 year
4,100
5,101
6,11
7,12
8,12 year
9,13
10,13 rating
11,15
12,15 minutes
13,15 years
14,18
15,18 year
16,19
17,1950s
18,1952
19,1958
20,1958 brooklyn
21,1970s
22,1984
23,1999
24,1999 rrb
25,19th
26,19th century
27,20
28,20 minutes
29,20 years
30,2002
31,20th
32,20th century
33,21st
34,21st century
35,22
36,22 year
37,30
38,3000
39,3d
40,40
41,50
42,50 year
43,50s
44,51
45,60
46,60s
47,70s
48,80
49,80 minutes
50,84
51,84 minutes
52,88
53,88 minute
54,90
55,90 minute
56,90 minutes
57,95
58,abandon
59,ability
60,ability to
61,able
62,able to
63,about
64,about an
65,about as
66,about being
67,about family
68,about growing
69,about his
70,about how
71,about human
72,about it
73,about its
74,about mary
75,about nothing
76,about one
77,about schmidt
78,about something
79,about the
80,about their
81,about them
82,about this
83,about two
84,about what
85,about women
86,about young
87,above
88,above average
89,above its
90,above the
91,absolute
92,absolutely
93,absorbing
94,abstract
95,absurd
96,absurdity
97,absurdity of
98,abundant
99,abuse
100,academy
101,accent
102,accents
103,accept
104,acceptable
105,access
106,access to
107,accessible
108,accident
109,accomplished
110,accomplishments
111,account
112,accurate
113,accurately
114,acerbic
115,ache
116,achieve
117,achievement
118,achieves
119,achingly
120,acknowledges
121,across
122,across as
123,across its
124,across the
125,act
126,acted
127,acted and
128,acted but
129,acting
130,acting and
131,acting chops
132,acting clinic
133,acting is
134,action
135,action and
136,action comedy
137,action film
138,action films
139,action flick
140,action hero
141,action movie
142,action packed
143,action scenes
144,action sequences
145,actions
146,actor
147,actors
148,actors in
149,actress
150,actresses
151,acts
152,actual
153,actually
154,actually funny
155,ad
156,adam
157,adam sandler
158,adams
159,adaptation
160,adaptation of
161,adapted
162,add
163,add up
164,added
165,addition
166,addition to
167,adds
168,adequate
169,adequately
170,admirable
171,admire
172,admire the
173,admission
174,admit
175,admit it
176,admittedly
177,adolescence
178,adolescent
179,adrenaline
180,adult
181,adults
182,adults and
183,advantage
184,adventure
185,adventure and
186,adventures
187,adventures of
188,adventurous
189,advice
190,affair
191,affected
192,affecting
193,affection
194,affection for
195,affirming
196,affleck
197,afghan
198,aficionados
199,afraid
200,afraid of
201,afraid to
202,african
203,african americans
204,after
205,after all
206,after an
207,after another
208,after school
209,after the
210,after while
211,after you
212,afterlife
213,afternoon
214,again
215,again and
216,against
217,against the
218,age
219,age story
220,age tale
221,aged
222,agency
223,agent
224,ages
225,aggrandizing
226,aggressive
227,aggressively
228,aging
229,ago
230,agonizing
231,ah
232,ahead
233,ahead of
234,ai
235,ai not
236,aid
237,aids
238,aim
